"team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"Golden State Warriors","12/15/16",2016,3,3,51,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",3,"New York Knicks",25,21,33
"Golden State Warriors","10/28/16",2016,3,9,14,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",2,"New Orleans Pelicans",9,26,27
"Golden State Warriors","11/1/16",2016,2,5,8,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",2,"Portland Trail Blazers",-22,2,19
"Golden State Warriors","12/1/16",2016,3,5,27,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",0,"Houston Rockets",2,7,31
"Golden State Warriors","4/4/17",2016,3,2,4,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",2,"Minnesota Timberwolves",1,26,34
"Golden State Warriors","11/19/16",2016,4,5,36,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",0,"Milwaukee Bucks",2,7,43
"Golden State Warriors","11/21/16",2016,3,9,51,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",0,"Indiana Pacers",-1,2,27
"Golden State Warriors","3/29/17",2016,2,1,40,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",2,"San Antonio Spurs",28,0,23
"Golden State Warriors","11/25/16",2016,3,10,59,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",13,6,26
"Golden State Warriors","12/28/16",2016,3,3,54,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Toronto Raptors",-9,8,33
"Golden State Warriors","3/28/17",2016,4,9,36,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Houston Rockets",-4,-5,39
"Golden State Warriors","12/11/16",2016,4,3,34,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Minnesota Timberwolves",14,7,45
"Golden State Warriors","12/10/16",2016,3,4,12,"shot_no","Cutting Layup Shot","2PT Field Goal",2,"Memphis Grizzlies",-24,-6,32
"Golden State Warriors","2/27/17",2016,1,9,29,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Philadelphia 76ers",-7,-6,3
"Golden State Warriors","3/6/17",2016,1,1,40,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Atlanta Hawks",20,7,11
"Golden State Warriors","3/21/17",2016,1,8,40,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Dallas Mavericks",12,-1,4
"Golden State Warriors","12/3/16",2016,3,9,14,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Phoenix Suns",0,11,27
"Golden State Warriors","2/27/17",2016,4,5,51,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Philadelphia 76ers",12,7,43
"Golden State Warriors","12/7/16",2016,1,3,8,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Los Angeles Clippers",-7,21,9
"Golden State Warriors","3/16/17",2016,3,5,51,"shot_no","Cutting Layup Shot","2PT Field Goal",2,"Orlando Magic",22,18,31
"Golden State Warriors","1/6/17",2016,1,8,39,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Memphis Grizzlies",4,11,4
"Golden State Warriors","10/28/16",2016,3,3,12,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"New Orleans Pelicans",17,7,33
"Golden State Warriors","11/23/16",2016,3,2,55,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",1,11,34
"Golden State Warriors","2/2/17",2016,4,6,16,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Los Angeles Clippers",22,16,42
"Golden State Warriors","12/17/16",2016,1,3,20,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Portland Trail Blazers",-1,23,9
"Golden State Warriors","12/20/16",2016,2,1,36,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Utah Jazz",-1,16,23
"Golden State Warriors","11/25/16",2016,4,2,31,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Los Angeles Lakers",8,-2,46
"Golden State Warriors","3/26/17",2016,3,8,9,"shot_no","Cutting Layup Shot","2PT Field Goal",2,"Memphis Grizzlies",9,21,28
"Golden State Warriors","2/10/17",2016,1,2,41,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Memphis Grizzlies",24,7,10
"Golden State Warriors","1/28/17",2016,1,11,22,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Los Angeles Clippers",-7,16,1
"Golden State Warriors","12/25/16",2016,4,4,28,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Cleveland Cavaliers",1,-5,44
"Golden State Warriors","11/19/16",2016,3,8,3,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Milwaukee Bucks",0,7,28
"Golden State Warriors","11/23/16",2016,2,2,41,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",10,16,22
"Golden State Warriors","2/15/17",2016,1,9,28,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Sacramento Kings",6,16,3
"Golden State Warriors","12/7/16",2016,1,7,6,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Los Angeles Clippers",25,2,5
"Golden State Warriors","12/7/16",2016,2,4,38,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Los Angeles Clippers",6,21,20
"Golden State Warriors","11/21/16",2016,3,6,46,"shot_yes","Driving Bank shot","2PT Field Goal",11,"Indiana Pacers",-110,36,30
"Golden State Warriors","1/6/17",2016,4,1,20,"shot_yes","Driving Bank shot","2PT Field Goal",6,"Memphis Grizzlies",-43,46,47
"Golden State Warriors","11/26/16",2016,1,2,41,"shot_yes","Driving Bank shot","2PT Field Goal",3,"Minnesota Timberwolves",12,31,10
"Golden State Warriors","2/2/17",2016,1,4,7,"shot_yes","Driving Bank shot","2PT Field Goal",5,"Los Angeles Clippers",-52,18,8
"Golden State Warriors","11/13/16",2016,2,5,30,"shot_yes","Driving Bank shot","2PT Field Goal",11,"Phoenix Suns",-70,85,19
"Golden State Warriors","11/9/16",2016,2,8,42,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",1,"Dallas Mavericks",10,16,16
"Golden State Warriors","1/4/17",2016,1,5,53,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",2,"Portland Trail Blazers",-7,26,7
"Golden State Warriors","11/18/16",2016,2,1,52,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",2,"Boston Celtics",-25,7,23
"Golden State Warriors","11/18/16",2016,4,0,48,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",1,"Boston Celtics",-9,16,48
"Golden State Warriors","11/13/16",2016,3,1,6,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",2,"Phoenix Suns",-1,21,35
